nombre,direccion,colonia,ciudad,estado,niveles,notas
Campus 1,"José Figueroa Siller 156",Doctores,Saltillo,Coahuila,"maternal,kinder,primaria_baja","Maternal, Kinder y Primaria hasta 5° grado"
Campus 2,"Blvd. V. Carranza 5064",Doctores,Saltillo,Coahuila,"primaria_alta,secundaria","6° de Primaria a 3° de Secundaria"
